127.0.0.1 - - [05/Sep/2018:13:42:13 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:15 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:15 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:15 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:16 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:16 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:16 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:17 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:20 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:20 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:27 +0900] "POST /sample-web/LoginAction.action HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:27 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:31 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:31 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:31 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:34 +0900] "GET /sample-web/ProductDetailsAction.action?productId=8 HTTP/1.1" 200 5949
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:34 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:38 +0900] "POST /sample-web/AddCartAction.action HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:38 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:52 +0900] "POST /sample-web/DeleteCartAction HTTP/1.1" 200 5047
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:52 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:57 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [05/Sep/2018:13:42:57 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:18 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:18 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:21 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:21 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:22 +0900] "GET /sample-web/ProductDetailsAction.action?productId=2 HTTP/1.1" 200 5828
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:23 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:25 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:25 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:27 +0900] "GET /sample-web/ProductDetailsAction.action?productId=3 HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:27 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:33 +0900] "POST /sample-web/AddCartAction.action HTTP/1.1" 200 4922
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:33 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:46 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:46 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:49 +0900] "GET /sample-web/SearchItemAction.action?pageNo=6&categoryId=1 HTTP/1.1" 200 6106
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:49 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:52 +0900] "GET /sample-web/ProductDetailsAction.action?productId=50 HTTP/1.1" 200 6013
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:52 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:57 +0900] "POST /sample-web/AddCartAction.action HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:09:58 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:03 +0900] "POST /sample-web/SettlementConfirmAction.action HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:04 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:11 +0900] "POST /sample-web/LoginAction.action HTTP/1.1" 200 4172
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:12 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:23 +0900] "POST /sample-web/SettlementCompleteAction.action HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:23 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:27 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:27 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:27 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:27 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:28 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:29 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:32 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:35 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:35 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:35 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:35 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
